,summary,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,word
Schottland,3.2671636422759525,0.10460342870844885,-0.5509893132096122,-0.02455327864211781,0.052627979833862706,0.9551819786403382,0.04937316661149101,0.0,0.052658147600350036,0.049080467397413556,0.052658147600350036,0.0416643635430952,0.10388120106795945,0.0,Schottland
geh+t schottland,3.2671636422759525,0.10460342870844885,-0.5509893132096122,-0.02455327864211781,0.052627979833862706,0.9551819786403382,0.04937316661149101,0.0,0.052658147600350036,0.049080467397413556,0.052658147600350036,0.0416643635430952,0.10388120106795945,0.0,geh+t schottland
ans,3.28172585218792,0.10015619107369411,-0.5554365508443668,-0.029000516276872463,0.04818074219910794,0.9691367358446614,0.04492592897673632,0.0,0.04821090996559521,0.044633229762658704,0.04821090996559521,0.037217125908340525,0.0994339634332047,0.0,ans
schottland an,3.28172585218792,0.10015619107369411,-0.5554365508443668,-0.029000516276872463,0.04818074219910794,0.9691367358446614,0.04492592897673632,0.0,0.04821090996559521,0.044633229762658704,0.04821090996559521,0.037217125908340525,0.0994339634332047,0.0,schottland an
an netz,3.2873742955982,0.09843648984361637,-0.5571562520744446,-0.030720217506950205,0.04646104096903023,0.9744647004678156,0.04320622774665864,0.0,0.046491208735517486,0.04291352853258098,0.046491208735517486,0.03549742467826273,0.09771426220312689,0.0,an netz
netz der,3.294727369759892,0.09620222559357272,-0.5593905163244884,-0.03295448175699404,0.04422677671898636,0.9813312091815474,0.04097196349661493,0.0,0.04425694448547374,0.04067926428253714,0.04425694448547374,0.033263160428218905,0.09547999795308307,0.0,netz der
der land,3.300860221404659,0.09434254188002983,-0.5612502000380312,-0.03481416547053698,0.04236709300544351,0.9869992105573284,0.03911227978307196,0.0,0.042397260771930755,0.03881958056899425,0.042397260771930755,0.031403476714676186,0.09362031423954019,0.0,der land
land mehr,3.317272228771011,0.08938282216063886,-0.5662099197574222,-0.03977388518992786,0.03740737328605256,1.0019098246585039,0.03415256006368099,0.0,0.03743754105253988,0.033859860849603365,0.03743754105253988,0.02644375699528501,0.08866059452014921,0.0,land mehr
strom wind,3.3453165953636965,0.08096431309122654,-0.5746284288268345,-0.048192394259340146,0.028988864216640268,1.0265573017477456,0.02573405099426868,0.0,0.029019031983127535,0.025441351780191215,0.029019031983127535,0.0180252479258728,0.08024208545073702,0.0,strom wind
wind produzier+t,3.355761124088467,0.07784704222232264,-0.5777456996957384,-0.05130966512824417,0.02587159334773636,1.0354806020646337,0.022616780125364774,0.0,0.025901761114223685,0.02232408091128719,0.025901761114223685,0.01490797705696884,0.07712481458183314,0.0,wind produzier+t
